iter	Passed	Remaining
1112	85168	144396
1113	85203	144250
1114	85216	144065
1115	85289	143984
1116	85299	143794
1117	85374	143716
1118	85420	143588
1119	85555	143611
1120	85564	143420
1121	85600	143278
1122	85632	143126
1123	85637	142932
1124	85672	142787
1125	85704	142638
1126	85730	142478
1127	85765	142333
1128	85800	142190
1129	85878	142117
1130	85935	142010
1131	85941	141818
1132	85991	141700
1133	86428	142218
1134	87285	143424
1135	87311	143264
1136	87324	143082
1137	87333	142895
1138	87349	142718
1139	87375	142559
1140	87379	142364
1141	87396	142192
1142	87401	141998
1143	87429	141843
1144	87447	141671
1145	87471	141511
1146	87477	141321
1147	87497	141154
1148	87548	141037
1149	87667	141029
1150	87689	140866
1151	87701	140687
1152	87713	140508
1153	87739	140353
1154	87809	140266
1155	87831	140104
1156	87847	139933
1157	87879	139787
1158	87931	139674
1159	87949	139506
1160	87970	139343
1161	87993	139183
1162	88234	139369
1163	88281	139248
1164	88311	139099
1165	88328	138931
1166	88388	138830
1167	88441	138719
1168	88461	138557
1169	88480	138392
1170	88486	138208
1171	88505	138044
1172	88513	137863
1173	88536	137707
1174	88553	137540
1175	88581	137390
1176	88590	137213
1177	89455	138359
1178	89475	138197
1179	89513	138062
1180	89539	137911
1181	89544	137726
1182	89555	137550
1183	89569	137380
1184	89620	137267
1185	89634	137096
1186	89692	136994
1187	89883	137094
1188	89909	136943
1189	89928	136781
1190	89962	136643
1191	89984	136486
1192	89995	136312
1193	90003	136136
1194	90085	136070
1195	90828	137001
1196	90851	136846
1197	90881	136701
1198	90906	136549
1199	90949	136423
1200	92481	138529
1201	92486	138345
1202	92544	138239
1203	92552	138059
1204	92643	138004
1205	92838	138102
1206	92856	137938
1207	92869	137766
1208	92887	137602
1209	92913	137450
1210	92924	137276
1211	92969	137152
1212	93034	137058
1213	93050	136892
1214	93056	136712
1215	93075	136551
1216	93151	136473
1217	93284	136480
1218	93495	136600
1219	93513	136437
1220	93566	136326
1221	93576	136152
1222	93596	135994
1223	93615	135834
1224	93646	135692
1225	93672	135541
1226	94059	135914
1227	94074	135749
1228	94087	135581
1229	95849	137930
1230	95905	137820
1231	95912	137641
1232	95926	137471
1233	95956	137324
1234	95979	137168
1235	95993	137000
1236	97581	139075
1237	97588	138893
1238	97607	138730
1239	97627	138567
1240	97633	138385
1241	97651	138221
1242	97670	138058
1243	97704	137917
1244	97722	137753
1245	98340	138434
1246	98360	138272
1247	98391	138126
1248	98506	138097
1249	98554	137976
1250	98571	137810
1251	98593	137652
1252	98620	137502
1253	98630	137327
1254	100261	139407
1255	100361	139355
1256	100367	139173
1257	100383	139005
1258	100409	138850
1259	100707	139072
1260	100729	138913
1261	100767	138774
1262	100790	138616
1263	100833	138486
1264	100863	138337
1265	100871	138160
1266	100949	138078
1267	102936	140604
1268	102958	140442
1269	102984	140286
1270	102996	140110
1271	103040	139979
1272	103059	139814
1273	103083	139656
1274	103104	139493
1275	103134	139345
1276	103151	139178
1277	103570	139552
1278	103586	139383
1279	103769	139440
1280	105583	141684
1281	107503	144065
1282	107537	143913
1283	107568	143759
1284	107587	143589
1285	108008	143955
1286	108042	143805
1287	108074	143651
1288	108090	143477
1289	108103	143300
1290	108152	143169
1291	108261	143119
1292	110512	145897
1293	110524	145714
1294	110541	145539
1295	110558	145363
1296	110575	145189
1297	110611	145039
1298	110621	144855
1299	110658	144707
1300	110674	144532
1301	112175	146293
1302	112187	146111
1303	112303	146063
1304	112320	145888
1305	112340	145716
1306	112383	145574
1307	112611	145671
1308	112625	145492
1309	113403	146299
1310	113459	146172
1311	113519	146052
1312	115297	148139
1313	115930	148751
1314	115948	148573
1315	115961	148388
1316	115977	148208
1317	115995	148030
1318	116069	147924
1319	116077	147735
1320	116110	147577
1321	116132	147406
1322	116416	147566
1323	116423	147375
1324	117110	148045
1325	117119	147856
1326	117268	147845
1327	117287	147668
1328	117301	147488
1329	117320	147311
1330	118095	148084
1331	118123	147920
1332	118129	147727
1333	118163	147570
1334	118176	147389
1335	118186	147202
1336	119421	148540
1337	119440	148363
1338	119467	148197
1339	119480	148012
1340	119488	147823
1341	119515	147657
1342	119579	147537
1343	119611	147378
1344	119634	147207
1345	119930	147374
1346	119948	147197
1347	119968	147023
1348	119992	146854
1349	120011	146680
1350	120031	146508
1351	120050	146334
1352	120069	146159
1353	120743	146783
1354	120770	146617
1355	120791	146445
1356	120805	146266
1357	120810	146075
1358	120826	145898
1359	120834	145712
1360	121462	146273
1361	121500	146121
1362	121510	145937
1363	121524	145758
1364	121534	145574
1365	121576	145429
1366	121724	145410
1367	121732	145224
1368	123225	146807
1369	123242	146631
1370	123353	146567
1371	123382	146403
1372	125067	148204
1373	125196	148158
1374	125224	147992
1375	125266	147843
1376	125280	147662
1377	125290	147475
1378	125318	147310
1379	125335	147133
1380	125589	147232
1381	127182	148900
1382	128549	150300
1383	128566	150117
1384	128597	149952
1385	128605	149761
1386	128622	149580
1387	128669	149434
1388	128699	149268
1389	128733	149109
1390	128805	148991
1391	130065	150247
1392	130575	150635
1393	131970	152040
1394	132002	151874
1395	132022	151693
1396	132044	151516
1397	132065	151337
1398	132089	151161
1399	132111	150985
1400	132129	150803
1401	132147	150622
1402	132155	150429
1403	132317	150412
1404	132322	150217
1405	132357	150055
1406	132370	149869
1407	132451	149760
1408	132462	149572
1409	132486	149399
1410	132510	149227
1411	133906	150597
1412	133915	150405
1413	133927	150218
1414	133962	150056
1415	133988	149885
1416	134010	149709
1417	134086	149594
1418	134165	149482
1419	135424	150683
1420	136532	151713
1421	136674	151668
1422	136703	151498
1423	136711	151304
1424	136735	151129
1425	137008	151228
1426	137098	151125
1427	137149	150979
1428	138271	152011
1429	138288	151827
1430	138308	151646
1431	138316	151452
1432	138345	151282
1433	138347	151082
1434	139517	152156
1435	140097	152585
1436	141271	153658
1437	141276	153459
1438	141316	153297
1439	141329	153106
1440	141340	152914
1441	142399	153855
1442	142423	153675
1443	142455	153504
1444	142468	153313
1445	142787	153452
1446	142802	153264
1447	142819	153077
1448	142856	152913
1449	143464	153358
1450	143492	153184
1451	144686	154253
1452	145797	155229
1453	145819	155045
1454	146416	155472
1455	146443	155294
1456	146459	155104
1457	146472	154911
1458	146495	154728
1459	146502	154530
1460	147845	155738
1461	147859	155545
1462	147887	155367
1463	149101	156433
1464	149131	156256
1465	150555	157539
1466	150574	157349
1467	151697	158311
1468	151978	158392
1469	152274	158489
1470	152550	158564
1471	152565	158370
1472	153785	159423
1473	153797	159223
1474	153806	159020
1475	154457	159480
1476	154488	159299
1477	156050	160696
1478	156087	160519
1479	156104	160323
1480	157336	161373
1481	157358	161181
1482	157377	160985
1483	157931	161337
1484	158226	161422
1485	158275	161257
1486	158296	161064
1487	159424	161995
1488	159444	161800
1489	160894	163053
1490	160899	162841
1491	160934	162659
1492	160955	162465
1493	160972	162265
1494	160998	162075
1495	161010	161871
1496	161100	161745
1497	161115	161545
1498	161129	161344
1499	161145	161145
1500	161168	160954
1501	161179	160750
1502	161253	160609
1503	161409	160550
1504	161438	160365
1505	161457	160170
1506	161478	159978
1507	161486	159773
1508	161516	159589
1509	162730	160575
1510	162754	160385
1511	162776	160192
1512	164153	161333
1513	164158	161122
1514	164180	160929
1515	164191	160725
1516	164731	161039
1517	164740	160833
1518	164759	160637
1519	164900	160561
1520	165193	160631
